level : info: Aug-10-2023 08:32:34: 	info
level : info: Aug-10-2023 08:33:29: 	login successful
level : info: Aug-10-2023 08:37:33: 	employee registered successful
level : info: Aug-10-2023 08:37:38: 	employee registered successful
level : info: Aug-10-2023 08:37:57: 	employee registered successful
level : info: Aug-10-2023 08:38:26: 	employee already exist
level : info: Aug-10-2023 08:38:28: 	employee already exist
level : info: Aug-10-2023 08:44:35: 	Email sent successfully
level : info: Aug-10-2023 09:02:31: 	Email sent successfully
level : info: Aug-10-2023 13:26:41: 	employee already exist
level : info: Aug-10-2023 13:26:48: 	employee already exist
level : info: Aug-10-2023 13:26:56: 	employee already exist
level : info: Aug-10-2023 13:27:06: 	employee already exist
level : info: Aug-10-2023 13:28:17: 	employee registered successful
level : info: Aug-10-2023 15:22:42: 	employee already exist
level : info: Aug-10-2023 15:22:44: 	employee already exist
level : info: Aug-10-2023 15:26:06: 	employee already exist
level : info: Aug-10-2023 15:26:54: 	login successful
level : info: Aug-10-2023 15:45:54: 	login successful
level : info: Aug-10-2023 15:45:57: 	login successful
level : info: Aug-10-2023 15:46:05: 	login successful
level : info: Aug-10-2023 15:46:33: 	login successful
level : info: Aug-10-2023 15:47:25: 	login successful
level : info: Aug-10-2023 16:03:21: 	employee already exist
level : info: Aug-10-2023 16:03:27: 	employee registered successful
level : info: Aug-10-2023 16:24:35: 	employee already exist
level : info: Aug-10-2023 16:24:40: 	employee already exist
level : info: Aug-10-2023 16:24:58: 	employee registered successful
level : info: Aug-11-2023 15:53:03: 	employee already exist
level : info: Aug-16-2023 19:56:15: 	employee already exist
level : info: Aug-16-2023 19:56:21: 	employee registered successful
